分类: 📺央视频道, 名称: CCTV-1, 有效: 0, IPv4: 5, IPv6: 0, 最小延迟: 10103 ms, 最高速率: 0.18 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-2, 有效: 0, IPv4: 4, IPv6: 0, 最小延迟: 10204 ms, 最高速率: 0.04 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-3, 有效: 0, IPv4: 5, IPv6: 0, 最小延迟: 10068 ms, 最高速率: 0.04 M/s, 平均速率: 0.00 M/s, 最高分辨率: None
分类: 📺央视频道, 名称: CCTV-4, 有效: 1, IPv4: 4, IPv6: 0, 最小延迟: 588 ms, 最高速率: 8.08 M/s, 平均速率: 8.08 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-5, 有效: 0, IPv4: 5, IPv6: 0, 最小延迟: 10267 ms, 最高速率: 0.04 M/s, 平均速率: 0.00 M/s, 最高分辨率: None
分类: 📺央视频道, 名称: CCTV-5+, 有效: 0, IPv4: 4, IPv6: 0, 最小延迟: 1743 ms, 最高速率: 0.34 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-6, 有效: 0, IPv4: 4, IPv6: 0, 最小延迟: 10322 ms, 最高速率: 0.03 M/s, 平均速率: 0.00 M/s, 最高分辨率: None
分类: 📺央视频道, 名称: CCTV-7, 有效: 0, IPv4: 5, IPv6: 0, 最小延迟: 10130 ms, 最高速率: 0.02 M/s, 平均速率: 0.00 M/s, 最高分辨率: None
分类: 📺央视频道, 名称: CCTV-8, 有效: 0, IPv4: 5, IPv6: 0, 最小延迟: 248 ms, 最高速率: 0.02 M/s, 平均速率: 0.00 M/s, 最高分辨率: None
分类: 📺央视频道, 名称: CCTV-9, 有效: 1, IPv4: 5, IPv6: 0, 最小延迟: 90 ms, 最高速率: 28.44 M/s, 平均速率: 28.44 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-10, 有效: 0, IPv4: 4, IPv6: 0, 最小延迟: 10320 ms, 最高速率: 0.07 M/s, 平均速率: 0.00 M/s, 最高分辨率: None
分类: 📺央视频道, 名称: CCTV-11, 有效: 0, IPv4: 4, IPv6: 0, 最小延迟: 10133 ms, 最高速率: 0.18 M/s, 平均速率: 0.00 M/s, 最高分辨率: None
分类: 📺央视频道, 名称: CCTV-12, 有效: 0, IPv4: 4, IPv6: 0, 最小延迟: 1450 ms, 最高速率: 0.02 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-13, 有效: 0, IPv4: 4, IPv6: 0, 最小延迟: 10310 ms, 最高速率: 0.01 M/s, 平均速率: 0.00 M/s, 最高分辨率: None
分类: 📺央视频道, 名称: CCTV-14, 有效: 0, IPv4: 4, IPv6: 0, 最小延迟: 2043 ms, 最高速率: 0.06 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-15, 有效: 0, IPv4: 4, IPv6: 0, 最小延迟: 10044 ms, 最高速率: 0.01 M/s, 平均速率: 0.00 M/s, 最高分辨率: None
分类: 📺央视频道, 名称: CCTV-16, 有效: 1, IPv4: 4, IPv6: 0, 最小延迟: 574 ms, 最高速率: 7.03 M/s, 平均速率: 7.03 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-17, 有效: 0, IPv4: 4, IPv6: 0, 最小延迟: 409 ms, 最高速率: 0.05 M/s, 平均速率: 0.00 M/s, 最高分辨率: 0x0
分类: 📡卫视频道, 名称: 浙江卫视, 有效: 3, IPv4: 5, IPv6: 0, 最小延迟: 1010 ms, 最高速率: 0.63 M/s, 平均速率: 0.56 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 湖南卫视, 有效: 0, IPv4: 4, IPv6: 0, 最小延迟: 70 ms, 最高速率: 1.36 M/s, 平均速率: 0.00 M/s, 最高分辨率: 720x576
分类: 📡卫视频道, 名称: 北京卫视, 有效: 0, IPv4: 5, IPv6: 0, 最小延迟: 72 ms, 最高速率: 1.39 M/s, 平均速率: 0.00 M/s, 最高分辨率: 720x576
分类: 📡卫视频道, 名称: 江苏卫视, 有效: 0, IPv4: 5, IPv6: 0, 最小延迟: 10042 ms, 最高速率: 0.04 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 广东珠江, 有效: 0, IPv4: 2, IPv6: 0, 最小延迟: 10661 ms, 最高速率: 0.02 M/s, 平均速率: 0.00 M/s, 最高分辨率: None
分类: 📡卫视频道, 名称: 广东体育, 有效: 0, IPv4: 2, IPv6: 0, 最小延迟: 10339 ms, 最高速率: 0.04 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 广东卫视, 有效: 0, IPv4: 4, IPv6: 0, 最小延迟: 10010 ms, 最高速率: 0.14 M/s, 平均速率: 0.00 M/s, 最高分辨率: 720x576
